rid,rname,rdescription,rrequirements_json
214,Lead Area Manager,Leading a team of professionals in Management project execution and quality control to ensure business excellence.,"{""years_of_experience"": ""7+ years"", ""education_level"": ""Bachelor's Degree"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
215,Head of Area Manager,Defining the long-term strategy for Management departmental growth and vision to ensure business excellence.,"{""years_of_experience"": ""10+ years"", ""education_level"": ""Master's Degree / MBA"", ""technical_skills"": [""Strategic Planning"", ""Stakeholder Management""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
216,Junior District Supervisor,Assisting in daily tasks and learning Management operational support to ensure business excellence.,"{""years_of_experience"": ""None"", ""education_level"": ""High School Diploma"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
217,Assistant District Supervisor,Supporting the department with Management administrative and technical duties to ensure business excellence.,"{""years_of_experience"": ""1-2 years"", ""education_level"": ""Relevant Course/Certification"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
218,Senior District Supervisor,Executing high-level Management independent professional tasks to ensure business excellence.,"{""years_of_experience"": ""5+ years"", ""education_level"": ""Bachelor's Degree"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
219,Lead District Supervisor,Leading a team of professionals in Management project execution and quality control to ensure business excellence.,"{""years_of_experience"": ""7+ years"", ""education_level"": ""Bachelor's Degree"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
220,Head of District Supervisor,Defining the long-term strategy for Management departmental growth and vision to ensure business excellence.,"{""years_of_experience"": ""10+ years"", ""education_level"": ""Master's Degree / MBA"", ""technical_skills"": [""Strategic Planning"", ""Stakeholder Management""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
221,Junior Regional Operations Director,Assisting in daily tasks and learning Management operational support to ensure business excellence.,"{""years_of_experience"": ""None"", ""education_level"": ""High School Diploma"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
222,Assistant Regional Operations Director,Supporting the department with Management administrative and technical duties to ensure business excellence.,"{""years_of_experience"": ""1-2 years"", ""education_level"": ""Relevant Course/Certification"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
223,Senior Regional Operations Director,Executing high-level Management independent professional tasks to ensure business excellence.,"{""years_of_experience"": ""5+ years"", ""education_level"": ""Bachelor's Degree"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
224,Lead Regional Operations Director,Leading a team of professionals in Management project execution and quality control to ensure business excellence.,"{""years_of_experience"": ""7+ years"", ""education_level"": ""Bachelor's Degree"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
225,Head of Regional Operations Director,Defining the long-term strategy for Management departmental growth and vision to ensure business excellence.,"{""years_of_experience"": ""10+ years"", ""education_level"": ""Master's Degree / MBA"", ""technical_skills"": [""Strategic Planning"", ""Stakeholder Management""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
226,Junior Product Manager,Assisting in daily tasks and learning Management operational support to ensure business excellence.,"{""years_of_experience"": ""None"", ""education_level"": ""High School Diploma"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
227,Assistant Product Manager,Supporting the department with Management administrative and technical duties to ensure business excellence.,"{""years_of_experience"": ""1-2 years"", ""education_level"": ""Relevant Course/Certification"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
228,Senior Product Manager,Executing high-level Management independent professional tasks to ensure business excellence.,"{""years_of_experience"": ""5+ years"", ""education_level"": ""Bachelor's Degree"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
229,Lead Product Manager,Leading a team of professionals in Management project execution and quality control to ensure business excellence.,"{""years_of_experience"": ""7+ years"", ""education_level"": ""Bachelor's Degree"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
230,Head of Product Manager,Defining the long-term strategy for Management departmental growth and vision to ensure business excellence.,"{""years_of_experience"": ""10+ years"", ""education_level"": ""Master's Degree / MBA"", ""technical_skills"": [""Strategic Planning"", ""Stakeholder Management""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
231,Junior HR Manager,Assisting in daily tasks and learning HR operational support to ensure business excellence.,"{""years_of_experience"": ""None"", ""education_level"": ""High School Diploma"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
232,Assistant HR Manager,Supporting the department with HR administrative and technical duties to ensure business excellence.,"{""years_of_experience"": ""1-2 years"", ""education_level"": ""Relevant Course/Certification"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
233,Senior HR Manager,Executing high-level HR independent professional tasks to ensure business excellence.,"{""years_of_experience"": ""5+ years"", ""education_level"": ""Bachelor's Degree"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
234,Lead HR Manager,Leading a team of professionals in HR project execution and quality control to ensure business excellence.,"{""years_of_experience"": ""7+ years"", ""education_level"": ""Bachelor's Degree"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
235,Head of HR Manager,Defining the long-term strategy for HR departmental growth and vision to ensure business excellence.,"{""years_of_experience"": ""10+ years"", ""education_level"": ""Master's Degree / MBA"", ""technical_skills"": [""Strategic Planning"", ""Stakeholder Management""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
236,Junior HR Specialist,Assisting in daily tasks and learning HR operational support to ensure business excellence.,"{""years_of_experience"": ""None"", ""education_level"": ""High School Diploma"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
237,Assistant HR Specialist,Supporting the department with HR administrative and technical duties to ensure business excellence.,"{""years_of_experience"": ""1-2 years"", ""education_level"": ""Relevant Course/Certification"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
238,Senior HR Specialist,Executing high-level HR independent professional tasks to ensure business excellence.,"{""years_of_experience"": ""5+ years"", ""education_level"": ""Bachelor's Degree"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
239,Lead HR Specialist,Leading a team of professionals in HR project execution and quality control to ensure business excellence.,"{""years_of_experience"": ""7+ years"", ""education_level"": ""Bachelor's Degree"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
240,Head of HR Specialist,Defining the long-term strategy for HR departmental growth and vision to ensure business excellence.,"{""years_of_experience"": ""10+ years"", ""education_level"": ""Master's Degree / MBA"", ""technical_skills"": [""Strategic Planning"", ""Stakeholder Management""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
241,Junior Recruitment Officer,Assisting in daily tasks and learning HR operational support to ensure business excellence.,"{""years_of_experience"": ""None"", ""education_level"": ""High School Diploma"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
242,Assistant Recruitment Officer,Supporting the department with HR administrative and technical duties to ensure business excellence.,"{""years_of_experience"": ""1-2 years"", ""education_level"": ""Relevant Course/Certification"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
243,Senior Recruitment Officer,Executing high-level HR independent professional tasks to ensure business excellence.,"{""years_of_experience"": ""5+ years"", ""education_level"": ""Bachelor's Degree"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
244,Lead Recruitment Officer,Leading a team of professionals in HR project execution and quality control to ensure business excellence.,"{""years_of_experience"": ""7+ years"", ""education_level"": ""Bachelor's Degree"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
245,Head of Recruitment Officer,Defining the long-term strategy for HR departmental growth and vision to ensure business excellence.,"{""years_of_experience"": ""10+ years"", ""education_level"": ""Master's Degree / MBA"", ""technical_skills"": [""Strategic Planning"", ""Stakeholder Management""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
246,Junior Welfare Coordinator,Assisting in daily tasks and learning HR operational support to ensure business excellence.,"{""years_of_experience"": ""None"", ""education_level"": ""High School Diploma"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
247,Assistant Welfare Coordinator,Supporting the department with HR administrative and technical duties to ensure business excellence.,"{""years_of_experience"": ""1-2 years"", ""education_level"": ""Relevant Course/Certification"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
248,Senior Welfare Coordinator,Executing high-level HR independent professional tasks to ensure business excellence.,"{""years_of_experience"": ""5+ years"", ""education_level"": ""Bachelor's Degree"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
249,Lead Welfare Coordinator,Leading a team of professionals in HR project execution and quality control to ensure business excellence.,"{""years_of_experience"": ""7+ years"", ""education_level"": ""Bachelor's Degree"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
250,Head of Welfare Coordinator,Defining the long-term strategy for HR departmental growth and vision to ensure business excellence.,"{""years_of_experience"": ""10+ years"", ""education_level"": ""Master's Degree / MBA"", ""technical_skills"": [""Strategic Planning"", ""Stakeholder Management""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
251,Junior Payroll Admin,Assisting in daily tasks and learning HR operational support to ensure business excellence.,"{""years_of_experience"": ""None"", ""education_level"": ""High School Diploma"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
252,Assistant Payroll Admin,Supporting the department with HR administrative and technical duties to ensure business excellence.,"{""years_of_experience"": ""1-2 years"", ""education_level"": ""Relevant Course/Certification"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
253,Senior Payroll Admin,Executing high-level HR independent professional tasks to ensure business excellence.,"{""years_of_experience"": ""5+ years"", ""education_level"": ""Bachelor's Degree"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
254,Lead Payroll Admin,Leading a team of professionals in HR project execution and quality control to ensure business excellence.,"{""years_of_experience"": ""7+ years"", ""education_level"": ""Bachelor's Degree"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
255,Head of Payroll Admin,Defining the long-term strategy for HR departmental growth and vision to ensure business excellence.,"{""years_of_experience"": ""10+ years"", ""education_level"": ""Master's Degree / MBA"", ""technical_skills"": [""Strategic Planning"", ""Stakeholder Management""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
256,Junior Support Agent,Assisting in daily tasks and learning Customer Service operational support to ensure business excellence.,"{""years_of_experience"": ""None"", ""education_level"": ""Not Required"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
257,Assistant Support Agent,Supporting the department with Customer Service administrative and technical duties to ensure business excellence.,"{""years_of_experience"": ""1-2 years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
258,Senior Support Agent,Executing high-level Customer Service independent professional tasks to ensure business excellence.,"{""years_of_experience"": ""5+ years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
259,Lead Support Agent,Leading a team of professionals in Customer Service project execution and quality control to ensure business excellence.,"{""years_of_experience"": ""7+ years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
260,Head of Support Agent,Defining the long-term strategy for Customer Service departmental growth and vision to ensure business excellence.,"{""years_of_experience"": ""10+ years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Strategic Planning"", ""Stakeholder Management""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
261,Junior Customer Experience Lead,Assisting in daily tasks and learning Customer Service operational support to ensure business excellence.,"{""years_of_experience"": ""None"", ""education_level"": ""Not Required"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
262,Assistant Customer Experience Lead,Supporting the department with Customer Service administrative and technical duties to ensure business excellence.,"{""years_of_experience"": ""1-2 years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
263,Senior Customer Experience Lead,Executing high-level Customer Service independent professional tasks to ensure business excellence.,"{""years_of_experience"": ""5+ years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
264,Lead Customer Experience Lead,Leading a team of professionals in Customer Service project execution and quality control to ensure business excellence.,"{""years_of_experience"": ""7+ years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
265,Head of Customer Experience Lead,Defining the long-term strategy for Customer Service departmental growth and vision to ensure business excellence.,"{""years_of_experience"": ""10+ years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Strategic Planning"", ""Stakeholder Management""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
266,Junior Returns Specialist,Assisting in daily tasks and learning Customer Service operational support to ensure business excellence.,"{""years_of_experience"": ""None"", ""education_level"": ""Not Required"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
267,Assistant Returns Specialist,Supporting the department with Customer Service administrative and technical duties to ensure business excellence.,"{""years_of_experience"": ""1-2 years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
268,Senior Returns Specialist,Executing high-level Customer Service independent professional tasks to ensure business excellence.,"{""years_of_experience"": ""5+ years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
269,Lead Returns Specialist,Leading a team of professionals in Customer Service project execution and quality control to ensure business excellence.,"{""years_of_experience"": ""7+ years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
270,Head of Returns Specialist,Defining the long-term strategy for Customer Service departmental growth and vision to ensure business excellence.,"{""years_of_experience"": ""10+ years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Strategic Planning"", ""Stakeholder Management""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
271,Junior Warehouse Worker,Assisting in daily tasks and learning Logistics operational support to ensure business excellence.,"{""years_of_experience"": ""None"", ""education_level"": ""Not Required"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
272,Assistant Warehouse Worker,Supporting the department with Logistics administrative and technical duties to ensure business excellence.,"{""years_of_experience"": ""1-2 years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
273,Senior Warehouse Worker,Executing high-level Logistics independent professional tasks to ensure business excellence.,"{""years_of_experience"": ""5+ years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
274,Lead Warehouse Worker,Leading a team of professionals in Logistics project execution and quality control to ensure business excellence.,"{""years_of_experience"": ""7+ years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
275,Head of Warehouse Worker,Defining the long-term strategy for Logistics departmental growth and vision to ensure business excellence.,"{""years_of_experience"": ""10+ years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Strategic Planning"", ""Stakeholder Management""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
276,Junior Inventory Supervisor,Assisting in daily tasks and learning Logistics operational support to ensure business excellence.,"{""years_of_experience"": ""None"", ""education_level"": ""Not Required"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
277,Assistant Inventory Supervisor,Supporting the department with Logistics administrative and technical duties to ensure business excellence.,"{""years_of_experience"": ""1-2 years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
278,Senior Inventory Supervisor,Executing high-level Logistics independent professional tasks to ensure business excellence.,"{""years_of_experience"": ""5+ years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
279,Lead Inventory Supervisor,Leading a team of professionals in Logistics project execution and quality control to ensure business excellence.,"{""years_of_experience"": ""7+ years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
280,Head of Inventory Supervisor,Defining the long-term strategy for Logistics departmental growth and vision to ensure business excellence.,"{""years_of_experience"": ""10+ years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Strategic Planning"", ""Stakeholder Management""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
281,Junior Forklift Operator,Assisting in daily tasks and learning Logistics operational support to ensure business excellence.,"{""years_of_experience"": ""None"", ""education_level"": ""Not Required"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
282,Assistant Forklift Operator,Supporting the department with Logistics administrative and technical duties to ensure business excellence.,"{""years_of_experience"": ""1-2 years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
283,Senior Forklift Operator,Executing high-level Logistics independent professional tasks to ensure business excellence.,"{""years_of_experience"": ""5+ years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
284,Lead Forklift Operator,Leading a team of professionals in Logistics project execution and quality control to ensure business excellence.,"{""years_of_experience"": ""7+ years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
285,Head of Forklift Operator,Defining the long-term strategy for Logistics departmental growth and vision to ensure business excellence.,"{""years_of_experience"": ""10+ years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Strategic Planning"", ""Stakeholder Management""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
286,Junior Stock Controller,Assisting in daily tasks and learning Logistics operational support to ensure business excellence.,"{""years_of_experience"": ""None"", ""education_level"": ""Not Required"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
287,Assistant Stock Controller,Supporting the department with Logistics administrative and technical duties to ensure business excellence.,"{""years_of_experience"": ""1-2 years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
288,Senior Stock Controller,Executing high-level Logistics independent professional tasks to ensure business excellence.,"{""years_of_experience"": ""5+ years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
289,Lead Stock Controller,Leading a team of professionals in Logistics project execution and quality control to ensure business excellence.,"{""years_of_experience"": ""7+ years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
290,Head of Stock Controller,Defining the long-term strategy for Logistics departmental growth and vision to ensure business excellence.,"{""years_of_experience"": ""10+ years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Strategic Planning"", ""Stakeholder Management""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
291,Junior Warehouse Manager,Assisting in daily tasks and learning Logistics operational support to ensure business excellence.,"{""years_of_experience"": ""None"", ""education_level"": ""Not Required"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
292,Assistant Warehouse Manager,Supporting the department with Logistics administrative and technical duties to ensure business excellence.,"{""years_of_experience"": ""1-2 years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
293,Senior Warehouse Manager,Executing high-level Logistics independent professional tasks to ensure business excellence.,"{""years_of_experience"": ""5+ years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
294,Lead Warehouse Manager,Leading a team of professionals in Logistics project execution and quality control to ensure business excellence.,"{""years_of_experience"": ""7+ years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
295,Head of Warehouse Manager,Defining the long-term strategy for Logistics departmental growth and vision to ensure business excellence.,"{""years_of_experience"": ""10+ years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Strategic Planning"", ""Stakeholder Management""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
296,Junior Sales Associate,Assisting in daily tasks and learning Sales operational support to ensure business excellence.,"{""years_of_experience"": ""None"", ""education_level"": ""Not Required"", ""technical_skills"": [""Customer Persuasion"", ""Inventory Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
297,Assistant Sales Associate,Supporting the department with Sales administrative and technical duties to ensure business excellence.,"{""years_of_experience"": ""1-2 years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Customer Persuasion"", ""Inventory Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
298,Senior Sales Associate,Executing high-level Sales independent professional tasks to ensure business excellence.,"{""years_of_experience"": ""5+ years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Customer Persuasion"", ""Inventory Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
299,Lead Sales Associate,Leading a team of professionals in Sales project execution and quality control to ensure business excellence.,"{""years_of_experience"": ""7+ years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Customer Persuasion"", ""Inventory Management""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
300,Head of Sales Associate,Defining the long-term strategy for Sales departmental growth and vision to ensure business excellence.,"{""years_of_experience"": ""10+ years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Customer Persuasion"", ""Inventory Management""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
301,Junior Salesperson,Assisting in daily tasks and learning Sales operational support to ensure business excellence.,"{""years_of_experience"": ""None"", ""education_level"": ""Not Required"", ""technical_skills"": [""Customer Persuasion"", ""Inventory Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
302,Assistant Salesperson,Supporting the department with Sales administrative and technical duties to ensure business excellence.,"{""years_of_experience"": ""1-2 years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Customer Persuasion"", ""Inventory Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
303,Senior Salesperson,Executing high-level Sales independent professional tasks to ensure business excellence.,"{""years_of_experience"": ""5+ years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Customer Persuasion"", ""Inventory Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
304,Lead Salesperson,Leading a team of professionals in Sales project execution and quality control to ensure business excellence.,"{""years_of_experience"": ""7+ years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Customer Persuasion"", ""Inventory Management""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
305,Head of Salesperson,Defining the long-term strategy for Sales departmental growth and vision to ensure business excellence.,"{""years_of_experience"": ""10+ years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Customer Persuasion"", ""Inventory Management""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
306,Junior Sales Trainer,Assisting in daily tasks and learning Sales operational support to ensure business excellence.,"{""years_of_experience"": ""None"", ""education_level"": ""Not Required"", ""technical_skills"": [""Customer Persuasion"", ""Inventory Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
307,Assistant Sales Trainer,Supporting the department with Sales administrative and technical duties to ensure business excellence.,"{""years_of_experience"": ""1-2 years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Customer Persuasion"", ""Inventory Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
308,Senior Sales Trainer,Executing high-level Sales independent professional tasks to ensure business excellence.,"{""years_of_experience"": ""5+ years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Customer Persuasion"", ""Inventory Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
309,Lead Sales Trainer,Leading a team of professionals in Sales project execution and quality control to ensure business excellence.,"{""years_of_experience"": ""7+ years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Customer Persuasion"", ""Inventory Management""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
310,Head of Sales Trainer,Defining the long-term strategy for Sales departmental growth and vision to ensure business excellence.,"{""years_of_experience"": ""10+ years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Customer Persuasion"", ""Inventory Management""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
311,Junior Floor Supervisor,Assisting in daily tasks and learning Sales operational support to ensure business excellence.,"{""years_of_experience"": ""None"", ""education_level"": ""Not Required"", ""technical_skills"": [""Customer Persuasion"", ""Inventory Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
312,Assistant Floor Supervisor,Supporting the department with Sales administrative and technical duties to ensure business excellence.,"{""years_of_experience"": ""1-2 years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Customer Persuasion"", ""Inventory Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
313,Senior Floor Supervisor,Executing high-level Sales independent professional tasks to ensure business excellence.,"{""years_of_experience"": ""5+ years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Customer Persuasion"", ""Inventory Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
314,Lead Floor Supervisor,Leading a team of professionals in Sales project execution and quality control to ensure business excellence.,"{""years_of_experience"": ""7+ years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Customer Persuasion"", ""Inventory Management""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
315,Head of Floor Supervisor,Defining the long-term strategy for Sales departmental growth and vision to ensure business excellence.,"{""years_of_experience"": ""10+ years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Customer Persuasion"", ""Inventory Management""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
